state,abbreviation,name,href
Alabama,AL,Birmingham Mutual Aid,https://docs.google.com/document/d/12wY7BG4wzI0TJ6IHIg231iJX6bZ7T0NqPKRiexCColo/edit
,,,
Arizona,AZ,Kinlani (So-Called Flagstaff) Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSe4pQRyPNF9nqly1KNQobRtMUCf_kVSUp2RyBFknfUmejvfLA/viewform
Arizona,AZ,Mutual Aid Group Phoenix Metro-Area,https://www.facebook.com/groups/144504496872461/145065600149684/
Arizona,AZ,Navajo Hopi COVID 19 Response,https://www.navajohopisolidarity.org/
Arizona,AZ,Tucson Food Share,https://tucsonfoodshare.org/
Arizona,AZ,Tucson Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSdXG35r7SWGr3tSlTJb5UDa_lpUqd79l5zZ38jo6StYd4gt0Q/viewform
,,,
Arkansas,AR,Fayetteville Mutual Aid,https://www.facebook.com/groups/774646933026674/
Arkansas,AR,Little Rock Mutual Aid,https://docs.google.com/forms/d/1xEwoNiPDvXeX0YEy2UJyu4QtbIi4SQDl2nG01OgrxJI/viewform?edit_requested=true
Arkansas,AR,Mutual Aid Northwest Arkansas,https://docs.google.com/forms/d/e/1FAIpQLSeFpejs7aA_-vyGYxMve-1DOAtxUlq4Ebi0vlLZNb8HC60GQg/viewform
,,,
California,CA,Antelope Valley Mutual Aid,https://docs.google.com/forms/d/e/1FAIpQLSeOqzfae_wK5y2C9SeMmCqVbGvu-qnIAab_POVVyVA__5peBQ/viewform?vc=0&c=0&w=1&fbclid=IwAR00c873Hp0-JFkElbgEfii4Df4SKEa59yQqdWWklXsB6acFGvS7f-Q7eNM
California,CA,Bay Area Mutual Aid Support,https://docs.google.com/forms/d/e/1FAIpQLSf9NNt_6QQ0VrAIQAjb8B2nJj98mFP0_0p640x_LTqf9u8CGQ/viewform
California,CA,Bay Area Senior/Disability/Worker Mutual Aid,https://docs.google.com/forms/d/1hqLnUN22aMoRnKnJJF2CzNP7u-RG5-rhZAz509z9wxE/viewform?edit_requested=true
California,CA,Berkeley Mutual Aid Network,https://www.berkeleymutualaid.org/
California,CA,Contra Costa County Mutual Aid,https://www.facebook.com/groups/1041292696231067/
California,CA,Cooperation Humboldt,https://cooperationhumboldt.com/covid-response/
California,CA,Davis and Sacramento Mutual Aid Hub,https://mailchi.mp/riseup/ucd4cola-mutualaid
California,CA,DSA San Diego Libertarian Socialist Caucus COVID-19 Mutual Aid Grocery Run,https://docs.google.com/forms/d/e/1FAIpQLScemN0nfdpSoDXJLqGMjP-_WgCBYQhK-DTbcKezpaCYvu7VzA/viewform
California,CA,East Bay Disabled Folks,https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform
California,CA,Fresno Mutual Aid,https://docs.google.com/forms/d/1Fr686mTJJJYykqcU_RHvhSRO0RQyv42Sl7ft0szIEmQ/viewform?edit_requested=true
California,CA,Hayward Helping Hands,https://www.haywardhelpinghands.org/
California,CA,High Desert Mutual Aid,https://twitter.com/aid_high
California,CA,Hoover-Foster and Longfellow Neighborhood COVID-19 Relief,https://www.instagram.com/hooverfostermutualaid/
California,CA,Los Angeles Mutual Aid,https://docs.google.com/document/d/1d4fgYbzC4B1o1CQOIWbTxTUnE5VUIxv04EqeBjR2Fhc/edit
California,CA,Los Angeles Mutual Aid Fund,https://www.gofundme.com/f/asc-los-angeles-mutual-aid-fund?utm_medium=email&utm_source=product&utm_campaign=p_email%2B4904-welcome-wp-v5
California,CA,Mask Sonoma,https://twitter.com/masksonoma
California,CA,Modesto Community Support,https://www.modcomsupport.org/
California,CA,Monterey Peninsula Aid,https://docs.google.com/forms/d/1vFTiF0pZWqlIb5oSt08BhN8nqs7XL6F_tAIPr2w_ivQ/viewform?edit_requested=true
California,CA,Mutual Aid Los Angeles Fundraiser,https://www.gofundme.com/f/mutual-aid-action-los-angeles-fundraiser?utm_source=twitter&utm_medium=social&utm_campaign=m_pd+share-sheet
